MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA
71072,328,946,2291,2055919,501BAABF,20240926T172300,321361070531060377967816,20241006T080001,20241006T170624,391,313,128,59,56,30
71072,346,671,1643,2298509,9F9241E0,20240927T113300,765797909592021271115950,20241006T080001,20241006T170318,396,306,133,62,40,49
71072,346,672,1597,2057905,77D58985,20240927T111300,816202062535893897149841,20241006T080001,20241006T170356,393,293,120,67,35,33
71072,346,699,1848,2380536,B5821969,20240926T143400,230444397286809563214899,20241006T080001,20241006T171109,389,248,104,48,46,26
71072,346,701,1848,2375730,B5821969,20240926T144400,472868219010136843304728,20241006T080001,20241006T170126,387,263,115,57,50,19
71072,346,702,1848,2390226,B5821969,20240926T144900,866707711449879062906372,20241006T080001,20241006T170446,387,256,106,46,51,33
71072,346,704,1848,2386985,B5821969,20240926T145700,159636229278118149359971,20241006T080001,20241006T170844,388,260,123,48,44,21
71072,346,707,1848,2387172,B5821969,20240926T150800,634484035526328892679118,20241006T080001,20241006T171057,388,299,150,34,55,32
71072,346,708,1848,2381271,B5821969,20240926T151600,563777079219204886200009,20241006T080001,20241006T171159,389,286,151,40,44,29
71072,346,716,1856,2380419,A8EEE59A,20240926T112100,695090051653636933742347,20241006T080001,20241006T170407,333,245,105,42,53,21
71072,346,719,1856,2388615,A8EEE59A,20240926T113400,442565134128686973225885,20241006T080001,20241006T170414,326,251,121,39,41,23
71072,346,722,1864,2380573,BAFC3BCF,20240926T101200,189939178437995177483674,20241006T080001,20241006T170422,350,252,102,59,41,24
71072,346,723,1864,2382329,BAFC3BCF,20240926T101500,139434238232151163009784,20241006T080001,20241006T170302,355,260,116,35,51,27
71072,346,727,1864,2381303,BAFC3BCF,20240926T103000,321353861651178556691719,20241006T080001,20241006T170514,353,269,121,54,42,30
71072,346,732,1864,2373886,4D530D77,20240926T104200,240545306584322745187866,20241006T080001,20241006T171730,354,257,103,46,52,37
71072,346,734,1864,2386577,4D530D77,20240926T105200,634484911923808633313845,20241006T080001,20241006T170523,352,279,126,52,44,30
71072,346,735,1864,2387041,4D530D77,20240926T105800,109131495370694875222404,20241006T080001,20241006T170642,352,254,114,41,41,40
71072,346,737,1864,2380518,4D530D77,20240926T110600,129333735772230463288234,20241006T080058,20241006T170411,356,264,164,33,28,32
71072,346,744,1902,2029843,FE347AD3,20240926T094600,836404183142112079995024,20241006T080903,20241006T170957,249,155,64,32,25,16
71072,346,777,1872,2346186,908B88D9,20240925T110400,674888565395552513815793,20241006T080001,20241006T170827,263,203,85,39,31,26
71072,346,781,1872,2339239,9A876620,20240925T110400,947515247534825283184960,20241006T080001,20241006T170822,259,177,73,26,30,29
71072,346,782,1872,2339010,9A876620,20240925T111200,270848689167100428769470,20241006T080001,20241006T170232,263,180,87,24,32,21
